mua_objectid,mua_aggname_short,mua_country_code,mua_country,mua_mean_lon,mua_mean_lat,mua_cell_count,mua_worldpop_thousands,mua_area_m2,region_1,economy,sub_regions
8,Abidjan,384,Ivory_Coast,-4.021296296,5.34537037,27,4348,413978848,Africa,other,WestAfrica
179,Bouake,384,Ivory_Coast,-5.025,7.7,12,492,153228720,Africa,other,WestAfrica
334,Eldoret,404,Kenya,35.27045455,0.506818182,11,326,106486792,Africa,other,EastAfrica
725,Mombasa,404,Kenya,39.65576923,-4.036538462,13,1017,166308000,Africa,other,EastAfrica
749,Nairobi,404,Kenya,36.825,-1.251470588,34,4394,562282688,Africa,other,EastAfrica
752,Nakuru,404,Kenya,36.1,-0.275,12,446,131032512,Africa,other,EastAfrica
727,Monrovia,430,Liberia,-10.74791667,6.345833333,24,1250,305029504,Africa,other,WestAfrica
114,Banghazi,434,Libya,20.1,32.07045455,22,300,279205472,Africa,other,NorthAfrica
722,Misratah,434,Libya,15.08214286,32.36071429,21,219,250690944,Africa,other,NorthAfrica
1052,Tripoli,434,Libya,13.18958333,32.79895833,48,1265,746852032,Africa,other,NorthAfrica
71,Antananarivo,450,Madagascar,47.50978261,-18.90543478,23,1665,312688096,Africa,other,EastAfrica
1077,Toamasina,450,Madagascar,49.375,-18.15,10,57,92523952,Africa,other,EastAfrica
167,Blantyre,454,Malawi,35.0375,-15.7825,20,816,298851264,Africa,other,EastAfrica
624,Lilongwe,454,Malawi,33.76875,-13.95833333,24,1013,369104992,Africa,other,EastAfrica
109,Bamako,466,Mali,-7.987,12.619,25,3087,392371232,Africa,other,WestAfrica
787,Nouakchott,478,Mauritania,-15.95625,18.0875,16,1051,228082080,Africa,other,WestAfrica
20,Agadir,504,Morocco,-9.541666667,30.38055556,18,863,191065952,Africa,other,NorthAfrica
294,Casablanca,504,Morocco,-7.577272727,33.57045455,22,3424,289790048,Africa,other,NorthAfrica
1567,Fez,504,Morocco,-5,34.025,12,1079,161723648,Africa,other,NorthAfrica
556,Kenitra,504,Morocco,-6.579545455,34.23409091,11,440,113417296,Africa,other,NorthAfrica
