mua_objectid,mua_aggname,mua_cellcount,mua_country_code,mua_country,mua_cell_count_orig,mua_worldpop_thousands,mua_area_m2,mua_pop_per_km2,region_1,economy,sub_regions,lowBA_lowPR_93_99,highBA_lowPR_93_99,lowBA_highPR_93_99,highBA_highPR_93_99,lowBA_lowPR_99_09,highBA_lowPR_99_09,lowBA_highPR_99_09,highBA_highPR_99_09,lowBA_lowPR_10_20,highBA_lowPR_10_20,lowBA_highPR_10_20,highBA_highPR_10_20,GDP_1990_Bdol_US2011,GDP_1991_Bdol_US2011,GDP_1992_Bdol_US2011,GDP_1993_Bdol_US2011,GDP_1994_Bdol_US2011,GDP_1995_Bdol_US2011,GDP_1996_Bdol_US2011,GDP_1997_Bdol_US2011,GDP_1998_Bdol_US2011,GDP_1999_Bdol_US2011,GDP_2000_Bdol_US2011,GDP_2001_Bdol_US2011,GDP_2002_Bdol_US2011,GDP_2003_Bdol_US2011,GDP_2004_Bdol_US2011,GDP_2005_Bdol_US2011,GDP_2006_Bdol_US2011,GDP_2007_Bdol_US2011,GDP_2008_Bdol_US2011,GDP_2009_Bdol_US2011,GDP_2010_Bdol_US2011,GDP_2011_Bdol_US2011,GDP_2012_Bdol_US2011,GDP_2013_Bdol_US2011,GDP_2014_Bdol_US2011,GDP_2015_Bdol_US2011
1301,Vungtau,4,704,Viet_Nam,8,275,64515388,426,SEAsia,other,SEAsia,4,0,0,0,4,0,0,0,4,0,0,0,1.45421353,1.28804418,1.075607802,0.921790528,0.969359156,1.030519792,1.09709903,1.175672568,1.281862714,1.458668756,1.781830146,2.253512784,2.78231544,3.27751791,3.6389384,3.73599545,3.42593122,2.60144432,1.470502664,1.55662376,1.66378501,1.773785396,1.87295825,1.974513504,2.08990593,2.226485766
1302,Bhubaneswar,15,356,India,26,887,177069440,501,India,other,India,10,5,0,0,11,4,0,0,7,8,0,0,1.22352879,1.375104324,1.39074593,1.452293326,1.567380388,1.717208892,1.879103398,1.977112402,2.101706984,2.258959274,2.272314604,2.409326866,2.49246222,2.93014615,3.32580172,3.5754832,4.02008744,4.79734145,4.84988106,5.18519317,5.86959464,6.29427482,6.68676244,7.16908157,7.69212296,8.27857693
1303,Bethune,8,250,France,8,50,50125104,100,Europe,advanced,Europe,8,0,0,0,8,0,0,0,8,0,0,0,1.94982657,1.9954078,2.0030461,1.97130323,2.03339144,2.09642594,2.10844334,2.07378319,2.19526016,2.24348615,2.31068057,2.35119749,2.40257716,2.44467957,2.52023591,2.56600182,2.66275044,2.74084742,2.7658292,2.68814965,2.69127748,2.7599957,2.77767414,2.78710518,2.7940068,2.83491741
1304,Hubli+,23,356,India,23,509,288500128,176,India,other,India,21,2,0,0,21,2,0,0,20,3,0,0,1.14725328,1.295471891,1.33029549,1.395775018,1.494834243,1.619020489,1.757665685,1.85079726,1.993940035,2.208709391,2.343629927,2.409304264,2.52993091,2.654512687,2.986563046,3.546120052,3.855564902,4.306945654,4.472400814,4.668151702,5.194471736,5.565650142,5.907726388,6.330229212,6.792069766,7.309903096
1305,Beira,7,508,Mozambique,10,305,99701104,306,Africa,other,EastAfrica,1,2,4,0,6,1,0,0,5,2,0,0,0.082661439,0.08745284,0.082744196,0.08932915,0.094079616,0.095696076,0.121193531,0.126528929,0.139255882,0.154491607,0.188131368,0.217398451,0.228602898,0.246155273,0.267061186,0.297621013,0.329488414,0.360515862,0.39023532,0.418997954,0.44994393,0.483318245,0.519337616,0.557427815,0.592879318,0.623730994
1306,Beihai,6,156,China,13,438,119903152,365,China,other,China,4,2,0,0,1,5,0,0,1,5,0,0,0.35747197,0.394886061,0.463330077,0.545212437,0.644362549,0.709936393,0.757110748,0.792261742,0.838439163,0.87962169,0.910642976,0.988075678,1.08299341,1.16273201,1.304305047,1.428254322,1.694506331,2.017186115,2.168242989,2.405041454,2.968625652,3.268917282,3.542207604,3.980953506,4.260645494,4.544204464
1307,Bazhong,10,156,China,10,241,87507920,275,China,other,China,10,0,0,0,10,0,0,0,7,3,0,0,0.268267117,0.305609956,0.369467222,0.44914817,0.504002182,0.555692122,0.589937052,0.642924916,0.697780516,0.7572039,0.84714428,0.93698883,1.039000396,1.16726502,1.277824712,1.436784092,1.632538738,1.865174474,2.01647643,2.1640239,2.41173768,2.63792095,2.83931409,3.05387131,3.26842902,3.48595272
1308,Bayannaoer,10,156,China,10,345,106963888,323,China,other,China,9,1,0,0,4,6,0,0,3,7,0,0,0.172056015,0.183711891,0.201504167,0.21604914,0.234332759,0.254665136,0.292469317,0.317554793,0.351252986,0.386460833,0.419630967,0.454891546,0.500732002,0.570633694,0.650995766,0.748770472,0.879336988,1.051028926,1.274562984,1.440000768,1.6496203,1.808743172,1.95154934,2.104057124,2.251883254,2.401752734
1309,Batangas,11,608,Philippines,13,303,99441376,305,SEAsia,other,SEAsia,9,2,0,0,11,0,0,0,11,0,0,0,1.392213707,1.398260187,1.412938953,1.449242595,1.51525363,1.58395572,1.669044702,1.741878504,1.711678682,1.737870644,1.781889626,1.797052734,1.822783892,1.87224103,1.957766596,2.016941282,2.09722937,2.222197058,2.134280488,2.130036618,2.549480532,2.65054064,2.834203656,3.016730976,3.20389089,3.392330542
1310,Zamboanga,7,608,Philippines,12,478,85417088,560,SEAsia,other,SEAsia,5,2,0,0,7,0,0,0,7,0,0,0,0.460179268,0.435990831,0.418838583,0.413539037,0.42185622,0.4362917,0.46128052,0.489893475,0.496924314,0.526552603,0.567885682,0.605783931,0.650882956,0.706761937,0.776980245,0.833993038,0.892562498,0.959149695,1.017125804,1.087113872,1.148010864,1.198120738,1.286086896,1.57717958,1.675028736,1.773547018
